"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @CDCFlu: Question: When will flu season end? Answer:  influenza-like-illness has peaked and is declining, but some activity will likely…",FALSE,0,NA,2018-03-08 06:24:27,FALSE,NA,"971632721129889793",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SwannDives",32,TRUE,FALSE,NA,NA
"2","Just peed my pants while puking. Flu life is fabulous.",FALSE,0,NA,2018-03-08 06:21:47,FALSE,NA,"971632048854183936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","meg_fairless",0,FALSE,FALSE,NA,NA
"3","What is Fleshers Flu and how can you avoid it - https://t.co/iUcRhdASgf",FALSE,0,NA,2018-03-08 06:21:29,FALSE,NA,"971631976204656640",NA,"<a href=""http://healthtreatment.1syn.info/"" rel=""nofollow"">Psycho Ooooo</a>","NeofletperMaifl",0,FALSE,FALSE,NA,NA
"4","Universal jab NEEDED! Flu pandemic could strike TOMORROW killing 300million, says expert THE NEWS - GROUP OF WORLD… https://t.co/eQPGilpiYP",FALSE,0,NA,2018-03-08 06:21:13,TRUE,NA,"971631906625343488",NA,"<a href=""http://newsgw.com"" rel=""nofollow"">news323</a>","newsgwcom",0,FALSE,FALSE,NA,NA
"5","Ok, I’m going to just flat out say it. Fuck this year’s flu.

Over the past 72 hours, *after* being done with presc… https://t.co/YG0vXgRRr5",FALSE,0,NA,2018-03-08 06:19:20,TRUE,NA,"971631434598318081",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","evilgjb",0,FALSE,FALSE,NA,NA
"6","RT @CDCFlu: #WellnessWednesday: Remind children to cover coughs &amp; sneezes and wash hands often to help stop the spread of germs. https://t.…",FALSE,0,NA,2018-03-08 06:18:47,FALSE,NA,"971631297218076673",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","peejayreyes",65,TRUE,FALSE,NA,NA
"7","RT @GezusAdam: Ma’am it’s flu season chill out https://t.co/59Nty8noM5",FALSE,0,NA,2018-03-08 06:17:05,FALSE,NA,"971630865674571777",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","issacanaya",9,TRUE,FALSE,NA,NA
"8","@Cyn_Santana I’m up with you. I have the flu and strep throat at the same time <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BE><ed><U+00B4><U+00A6><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><U+200D><U+2640><U+FE0F>",FALSE,0,"Cyn_Santana",2018-03-08 06:15:16,FALSE,"971629381599858688","971630408264749057","30892248","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bludestiny",0,FALSE,FALSE,NA,NA
"9","RT @BCPowders: Got the flu? Can't take the day off? Shake off symptoms with #BCsinus for a quick comeback! https://t.co/O9EcufNoac",FALSE,0,NA,2018-03-08 06:14:41,FALSE,NA,"971630263431254017",NA,"<a href=""http://www.socialtoaster.com"" rel=""nofollow"">SocialToaster</a>","King_48Fan",3,TRUE,FALSE,NA,NA
"10","RT @DilaraEsengil: Imagine a world where we are free from tyranny, slavery, yearly flu viruses, poisons in our food and water, media lies,…",FALSE,0,NA,2018-03-08 06:12:36,FALSE,NA,"971629737712865281",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","fitzie63",3,TRUE,FALSE,NA,NA
"11","RT @CDCgov: Influenza activity has declined significantly, but will likely continue for several more weeks. Help stop the spread of germs a…",FALSE,0,NA,2018-03-08 06:10:09,FALSE,NA,"971629121188048896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nstor_jimne",162,TRUE,FALSE,NA,NA
