"","lon","lat"
"1",-77.0469214,38.8048355
"2",-71.0947805,42.8364781
"4",-79.3831843,43.653226
"5",-87.4360804,30.4142478
"11",-76.8483061,39.0992752
"14",-99.9018131,31.9685988
"16",-77.0368707,38.9071923
"17",-77.0368707,38.9071923
"19",-87.5294871,41.6155909
"20",-75.0760137,38.7209454
"21",-77.0272517,38.8981403
"22",-106.346771,56.130366
"24",-117.9298493,33.6188829
"25",-96.3344068,30.627977
"29",-74.4173877,40.8652865
"30",-158.0832343,21.5318703
"32",-81.5157535,27.6648274
"33",-74.2097014,40.082129
"35",-104.990251,39.7392358
"36",-81.3378874,41.5222735
"37",-95.712891,37.09024
"38",-82.6015206,34.829838
"40",-86.3619163,32.4798575
"41",-84.2940899,34.0753762
"43",-61.222503,10.691803
"45",-77.1945247,41.2033216
"47",-72.6850932,41.7637111
"50",-119.4179324,36.778261
"51",-122.3320708,47.6062095
"52",-74.4056612,40.0583238
"53",-85.6023643,44.3148443
"55",-118.4802497,34.0196705
"57",-119.4179324,36.778261
"59",-90.038134,35.145116
"62",-74.0059728,40.7127753
"65",-77.0368707,38.9071923
"66",-81.9081937,41.375049
"67",-61.222503,10.691803
"68",-99.9018131,31.9685988
"72",-77.026088,38.9906657
"74",-119.4179324,36.778261
"75",-74.4056612,40.0583238
"77",-73.657908,40.5884373
"79",-77.0179974,38.8135894
"80",-93.3860853,45.112059
"81",-73.6401296,40.6387141
"83",-95.712891,37.09024
"84",-80.0533746,26.7153424
"85",-74.511172,40.3025907
"88",-88.7878678,43.7844397
"90",-119.4179324,36.778261
"91",-2.6103158,53.2326344
"92",-3.7037902,40.4167754
"94",-80.1373174,26.1224386
"95",-77.6109219,43.16103
"96",-74.3882072,40.787878
"98",-86.2604102,39.7644337
"99",-82.474601,29.705576
"101",-127.6476205,53.7266683
"102",-90.1994042,38.6270025
"105",-95.712891,37.09024
"106",149.1300092,-35.2809368
"107",-77.0368707,38.9071923
"108",-88.0398912,30.6953657
"111",-81.935143,40.8050565
"112",-87.657584,44.0886059
"113",-75.1348421,39.9742176
"116",-95.712891,37.09024
"117",-74.0059728,40.7127753
"118",-73.8429989,40.6571222
"119",-85.6023643,44.3148443
"123",-99.9018131,31.9685988
"129",-75.4007058,39.9868904
